2021-08-29 23:44:48,888 [INFO  IM] - <http_msg_server.cpp>|<60>|<main>,MsgServer max files can open: 65535 
2021-08-29 23:44:48,891 [INFO  IM] - <BaseSocket.cpp>|<81>|<Listen>,CBaseSocket::Listen on 10.211.55.13:8400
2021-08-29 23:44:48,892 [INFO  IM] - <DBServConn.cpp>|<82>|<init_db_serv_conn>,DB server connection index for login business: [0, 4), for other business: [4, 8)
2021-08-29 23:44:48,892 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,892 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,892 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,892 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,893 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,893 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,893 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,893 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,893 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,893 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,893 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,893 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,893 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,894 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,894 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-08-29 23:44:48,894 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-08-29 23:44:48,894 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer 10.211.55.13:8200 
2021-08-29 23:44:48,894 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=8200
2021-08-29 23:44:48,895 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,895 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,895 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,895 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,896 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,896 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,896 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,896 [INFO  IM] - <DBServConn.cpp>|<180>|<OnConfirm>,connect to db server success
2021-08-29 23:44:48,896 [INFO  IM] - <RouteServConn.cpp>|<155>|<OnConfirm>,connect to route server success 
